source,violation_type,metric,value,unit
Table 10,Schema violation,detection_recall,99.1,percent
Table 10,Schema violation,residual_violation_rate,0.5,percent
Table 10,Scene mismatch,detection_recall,92.6,percent
Table 10,Scene mismatch,residual_violation_rate,3.1,percent
Table 10,Evidence mismatch,detection_recall,98.7,percent
Table 10,Evidence mismatch,residual_violation_rate,0.7,percent
Table 10,Progress mismatch,detection_recall,93.8,percent
Table 10,Progress mismatch,residual_violation_rate,2.6,percent
Table 10,Order violation,detection_recall,94.5,percent
Table 10,Order violation,residual_violation_rate,2.2,percent
Table 10,Illegal action,detection_recall,98.2,percent
Table 10,Illegal action,residual_violation_rate,0.9,percent
Table 10,Duplicate step,detection_recall,97.1,percent
Table 10,Duplicate step,residual_violation_rate,1.3,percent
Table 10,Overall,detection_recall,96.3,percent
Table 10,Overall,residual_violation_rate,1.6,percent
Table 11,Overall,valid_non_fallback_coverage,95.9,percent
Table 11,Overall,false_rejection_rate,1.8,percent
Table 11,Overall,retry_rate,11.8,percent
Table 11,Overall,retry_recovery_rate,78.6,percent
Table 11,Overall,fallback_rate,2.5,percent
